timestamp,elapsed_seconds,heart_rate,altitude_meters,speed_m_s,distance
2026-09-18T08:00:00Z,0,140,2850.0,3.10,0.0
2026-09-18T08:00:01Z,1,141,2850.5,3.10,3.1
2026-09-18T08:00:02Z,2,142,2851.0,3.10,6.2
2026-09-18T08:00:03Z,3,143,2851.5,3.10,9.3
2026-09-18T08:00:04Z,4,144,2852.0,3.10,12.4
2026-09-18T08:00:05Z,5,145,2852.5,3.10,15.5
2026-09-18T08:00:06Z,6,140,2853.0,3.10,18.6
2026-09-18T08:00:07Z,7,141,2853.5,3.10,21.7
2026-09-18T08:00:08Z,8,142,2854.0,3.10,24.8
2026-09-18T08:00:09Z,9,143,2854.5,3.10,27.9
2026-09-18T08:00:10Z,10,144,2855.0,3.10,31.0
2026-09-18T08:00:11Z,11,145,2855.5,3.10,34.1
2026-09-18T08:00:12Z,12,140,2856.0,3.10,37.2
2026-09-18T08:00:13Z,13,141,2856.5,3.10,40.3
2026-09-18T08:00:14Z,14,142,2857.0,3.10,43.4
